index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
10599,CN(O)C1=C(c2ccc(Oc3ccccc3)cc2)C(=O)N(C)C1,0.6461817,0.35914791,-0.44088635,0.40595192,0.12916324,1.0641953,-0.074029535,-0.28705209,-0.094276838,-0.052676637,-0.072476938,-0.68085253,-0.095156103,1.469319,-0.30389431,-0.29150486,0.91539031,1.1853186,1.4225705,0.86076272,37136,0
10647,COc1ccc(C2=CN3CCC2CC3)cn1,0.70143104,-0.73101199,0.86727059,0.8971191,0.91704619,0.75202912,0.75440592,-0.38678914,0.11106844,-0.2982747,-0.15704593,-1.2414376,-1.1901834,-1.8024305,-1.0085477,-1.5329316,0.53907955,-0.48048928,1.5237954,-0.20140973,38320,0
10663,O[C@]1(Cn2ccnc2)CC[C@@H](c2ccccc2)C1,0.62269312,0.21501774,0.66429615,-0.90297782,1.3523226,1.0781137,-0.010542998,-0.19104397,-0.57788664,-0.12937799,-1.5406245,-1.3167717,-0.51930517,0.28528166,0.75043559,0.3349649,-0.038473729,1.294343,-0.12622526,0.84942245,36649,0
10699,COc1ccc(OC)c(C2=CN3CCC2CC3)c1,1.1820819,-0.25261372,1.0764297,0.90256679,0.92128116,1.1420141,-0.39761934,-0.55638355,0.53994465,-0.30332905,0.23332742,-1.1585158,-1.7751974,-2.6084013,-0.17357604,0.12761874,-0.16658537,-0.051620092,0.55480421,1.5208635,46624,0
10704,CC[C@H](CN1CC[C@H](C)C1)C(=O)c1cc(-c2ccccc2)no1,1.0181803,0.17810908,0.19268261,0.12939057,-0.36026013,0.15499778,0.21649176,0.012046538,-1.5350137,0.025246618,-0.63610816,1.0252484,0.78172576,0.92795753,0.32544947,0.72038239,-0.9312731,0.084487855,-0.00856543,1.099786,44258,0
10713,C(=C1\CN2CCC1CC2)\c1nccs1,0.92798889,-1.0597305,0.85226142,1.0195887,1.9342819,0.8876518,1.3328421,0.080859706,-1.4267431,0.65801829,-0.48668304,-0.14680246,1.2257596,-0.40573761,-0.025317296,0.18528119,-0.011400693,1.7360617,0.71957159,-0.67432177,42715,0
10715,O=C(c1cn2c(n1)sc1ccccc12)C1CCC1,0.62373573,-0.43294448,-0.63359547,-0.37995741,-0.074979439,0.277318,2.056083,-0.34981698,0.56390202,-0.18535089,0.083639026,0.051953781,0.33333153,-0.27443525,-0.36012945,-2.6788437,0.012232478,-0.99608654,-0.13791683,-0.045837585,36671,0
10719,CCn1cc(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C)c(=O)c2ccccc21,0.7487222,1.1863279,0.85777444,0.64026189,-0.14930154,0.61997849,1.039669,-0.29570448,-0.98318911,0.63657248,-0.54938722,0.85567135,0.55920893,0.62462431,-0.66120553,0.49660653,0.45848653,0.8881492,0.79413402,-0.078252427,39321,0
10727,CCn1c(-c2cccs2)cc(=O)c2ccccc21,0.91271043,-0.27429596,-0.37790194,-0.61384565,0.51327628,-0.31158173,0.13660216,-0.45329145,0.29858884,0.11076304,-0.44532314,-0.47876772,-1.1112522,-0.73035324,0.15779795,-1.1669503,-0.925358,-0.22353001,0.67969602,-0.79085249,42408,0
10728,O=c1cc(-c2cccs2)[nH]c2ccccc12,0.79079103,-0.56750852,-0.97140074,-0.087254718,1.2260004,0.36118022,0.34706697,-0.50992256,0.55931395,0.44079578,-0.19036458,-1.2115846,-0.85023594,-0.25934032,0.88288748,-0.66993475,-0.007019619,-0.14586772,-0.07924296,-0.85679454,40136,0
