index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
51089,O=C(CSC3=NN=C(CC4=CC=CC=C4)O3)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-0.99546063,-4.1050224,1.2835888,-0.065611824,-0.62154847,0.95127392,-0.31781361,-0.49753362,1.1484915,-0.001335075,0.6007725,-0.31250387,-0.57535517,0.54816562,0.05672776,-0.99124712,-0.25939339,1.6391219,-1.5798736,-0.82475805,7825,2
51090,O=C(CSC3=NN=C(CC4=CC=CC=C4)N3N)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-0.98332727,-4.1236877,1.2321247,0.15859099,-0.70176977,0.8949272,-0.25913212,-0.60519999,1.1089319,-0.019424018,0.61038917,-0.49738112,-0.7109893,0.70991892,0.32201895,-0.74677318,-0.32738894,1.7585142,-1.6391429,-0.75432825,7943,2
51091,O=C(CSC3=NN=C(C4=CC=CC([N+]([O-])=O)=C4)S3)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-1.510802,-3.9041736,0.5376054,1.4334743,-0.5207873,0.4262262,-0.009451779,-0.43195477,0.58738518,-0.053996183,-0.34099364,-0.46078542,-1.1423417,1.2577178,0.64666235,-0.88986105,0.21693335,2.0388458,-2.2476594,-2.2625203,4203,2
51092,O=C(CSC3=NN=C(C4=C(N)C=CC=C4)S3)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-1.5025741,-3.9103103,0.52403539,1.4761773,-0.52754325,0.42922524,-8.68E-05,-0.58780193,0.54565251,-0.056687944,-0.3396475,-0.4935756,-1.1655688,1.2918144,0.68118513,-0.84970075,0.21775892,2.0539496,-2.2316635,-2.2560618,4246,2
51093,O=C(CSC3=NN=C(C4=C(N)C=CC=C4)N3)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-0.49201295,-1.2734793,0.2386689,0.72919649,0.4579466,0.23855695,-0.55517852,-0.47355068,0.35875067,-1.5115975,-0.78811133,1.9701809,-0.24940661,-0.23249014,-0.54242796,-0.90347433,-0.31140786,0.80967611,-0.15364866,0.39944538,13824,2
51094,O=C(CSC3=NN=C(C4=C(N)C=CC=C4)N3N)NC2=NC1=CC([N+]([O-])=O)=CC=C1N2,-0.40288201,-1.8062981,-0.39509827,0.23367918,1.017658,0.17654581,-0.13512157,-0.18954208,-0.11961269,-1.2844197,-1.5412288,0.41024256,-0.93551815,0.17493081,-1.0583941,-0.6502794,-0.83872169,1.3693389,0.18047696,0.46371824,15188,2
51095,CC2(C)[C@H](C(O)=O)N1C(C[C@]([H])1S(=O)2=O)=O,-0.49316546,-1.5971255,-0.81652087,0.42081481,0.57940495,0.48788834,-0.24754944,-0.33086446,-0.17785122,-0.43011478,-1.3439965,0.79331708,-1.3540165,-0.73881161,-0.13335449,0.077878982,-0.47807932,1.0292162,0.24463043,0.3527905,13807,2
51096,C1(CNCC2=NC=CC=C2)=CC=CC=N1,-0.53992856,-1.5938498,-0.69880974,0.14320429,0.6817224,0.35644832,-0.30211347,-0.14689305,-0.21000423,-0.43912441,-1.4100113,0.46171537,-1.4206285,-0.098415859,0.11594064,0.083921507,-0.15425384,1.6487948,0.26436526,0.39638832,13084,1
51097,C1(CN(CC3=CC=CC=N3)CCN(CC4=CC=CC=N4)CC2=CC=CC=N2)=NC=CC=C1,-0.28712907,-1.3915576,0.33869854,0.39004433,1.1335493,0.08683046,-0.5569731,-0.42412442,0.51537293,-1.1988939,-1.7854321,1.2863895,0.023605576,-1.071901,-1.6728603,-1.0089173,-0.29338986,1.683383,0.76158673,0.10849091,17149,1
51098,OC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O,-1.8731194,-1.4799619,-0.14703834,2.2099791,0.80366516,-0.86020863,0.36789933,-0.65380025,0.35488451,-0.15666106,-2.0174074,0.27824607,1.0526237,0.96443617,-1.6914307,-0.019589869,-0.80436563,1.8252649,-0.39926457,0.40153101,2663,1
51099,OC(CN1CCN(CC(O)=O)CCN(C(C(O)=O)CCC(O)=O)CC1)=O,-1.0517298,-2.0400605,-0.31392297,1.0742785,1.1714885,-0.55452937,0.50493532,-0.37884372,-0.075035408,-0.7062723,-1.4254559,1.4080696,1.1764857,-0.85383409,-1.5328903,-1.7623304,-0.50075722,2.6503115,0.7083528,-1.3642777,7311,1
51100,OC(CN1CCN(CC(O)=O)CCN(C(C(O)=O)CCC(N(C)C(C)C(NC(CC2=CC=CC=C2)C(N(C)C(C)C(NC(CC3=CC=CC=C3)C(N)=O)=O)=O)=O)=O)CC1)=O,-0.86075836,-2.1750057,-0.74448347,1.1425543,-0.073013149,-0.37272096,-0.20406093,-0.30741569,-0.67538601,-0.027393354,0.55566645,-0.31018537,1.436335,-0.30202743,-1.8368847,1.2269237,0.00445078,5.0561528,0.51409453,-2.8065348,9200,1
51101,OC(CN1CCN(CC(O)=O)CCN(C(C(O)=O)CCC(N(C)C(C)C(NC(CC2=CC=CC=C2)C(N(C)C(C)C(NC(CC3=CC=CC=C3)C(N(C)C(C)C(NC(CC4=CC=CC=C4)C(N(C)C(C)C(NC(CC5=CC=CC=C5)C(N)=O)=O)=O)=O)=O)=O)=O)=O)=O)CC1)=O,-1.2229203,-2.0669179,0.58675379,1.5708671,-0.17444371,0.1998316,-0.25712925,-0.87255245,0.79114473,0.2440346,0.058571827,0.3769044,0.30503243,0.53398699,-2.583241,-1.3111972,-1.5491676,2.3440056,0.10942043,-1.1371686,5978,1
51102,O=C(C(/C=N/CCCCOC([C@@H](N)CCCCN)=O)=CO2)C1=C2C=CC=C1,-0.86563694,-3.0087638,0.97756058,0.32155311,0.089940891,-0.035565589,-0.76695836,-0.44043943,0.50789988,-1.0888203,-0.19142844,0.01432962,-2.0030653,-0.01883056,-0.32954818,0.53519171,-1.0551353,2.7366323,-0.24307658,-3.8299038,9135,2
51103,OP(CC2=NC1=CC=CC=C1N2)(O)=O,-0.746288,-3.5037172,0.73441672,1.0315129,-0.022846747,-0.69355071,-0.67420191,1.0119479,0.9363724,0.15519185,-0.4947179,-0.9409768,-0.097663201,-0.91334552,0.20499794,0.64891654,0.26872748,2.5009778,0.11190717,-0.45795897,10462,1
51104,OP(O)(CC(NC1=C(Cl)C=CC=C1)=O)=O,-1.7806325,-2.8014858,0.75547719,0.76441455,-0.77437228,1.3643107,1.1848488,-0.51576757,1.2289714,-1.3288193,-0.11376441,1.8747145,-1.2298723,0.53998166,1.1250577,0.38957816,1.2690858,4.5003552,0.41176596,-3.7893281,3016,1
51105,OP(O)(CC(NC1=CC(Cl)=CC=C1)=O)=O,-0.53318578,-1.463787,0.00572455,-0.30129868,1.2264788,-0.27684483,-0.44212911,-0.12376957,-0.52962071,-1.3596344,-1.161759,0.47747606,-1.4400029,-0.048997071,-1.1761611,-0.57794642,-0.57017702,0.7130236,0.80842185,0.004512312,13183,1
51106,OP(O)(CC(NC1=CC([N+]([O-])=O)=CC=C1)=O)=O,-0.52972138,-1.452183,-0.000424187,-0.19599958,1.1441243,-0.27611032,-0.47816193,1.3670238,-0.059069738,-1.2850085,-1.1420637,0.36831462,-1.3854675,0.019669278,-1.1288348,-0.48655587,-0.61287057,0.69328237,0.78648812,-0.024487466,13235,1
51107,OP(O)(CC(NC1=NC(C=CC=C2)=C2N1)=O)=O,-0.87487739,-0.96752661,0.024662377,0.58125561,0.81238091,-0.13991639,-0.74988514,1.3109597,0.6617257,-0.63659072,-1.8973902,1.1139023,-0.61929089,-0.3806431,-2.1694515,-0.12605865,0.2583575,1.2235512,0.1989513,-0.71391624,9037,1
51108,OP(O)(CC(NC1=NC(C=CC=C2)=C2S1)=O)=O,-0.80161452,-0.9737981,-0.3193261,1.7099686,0.5326913,-0.18291491,-0.47116047,2.9971192,0.90493292,-1.1447667,-2.5946577,1.5391402,-0.011405758,-0.52913052,-2.2121019,-0.51216418,-0.51049984,0.90648735,-0.18503052,0.22855309,9863,1
51109,OP(O)(CC(NC1=CC=C(S)C=C1)=O)=O,-0.19935217,-1.5786077,0.44059721,0.10052128,0.35523322,-0.24841744,-0.75213206,2.3296044,0.70307779,-1.0821509,-0.9837665,0.62675834,-0.43873486,-0.17294073,-1.4198033,-0.82168531,-0.55458933,0.94179314,0.92657483,-1.0080936,18736,1
51110,C[C@H](CS)C(N1CCC[C@H]1[C@@](O)=O)=O,-0.408847,-1.4573909,-0.53126901,1.1146119,0.29288873,0.1569837,-0.41226396,2.4549015,0.02687433,-0.95159984,-1.3323323,1.0362966,-0.66363066,-0.74961579,-0.64439929,-0.42499107,-0.37532508,0.67034048,0.87143523,0.13564962,15093,1
51111,C[C@@H](CS)C(N1CCC[C@H]1[C@@](O)=O)=O,-0.86811149,-1.7180208,-0.19225033,0.46595606,1.1785702,-0.22632082,-0.055806421,2.1749027,0.63476944,-0.52069318,-1.2253534,-0.56842786,-1.7950284,0.76690835,-0.26387706,-0.14435168,-0.27011254,0.95401156,1.2136072,-0.18597847,9108,1
51112,SC(C=CC=C2)=C2C(N1CCC[C@H]1[C@](O)=O)=O,-0.19913954,-1.4053735,-0.098280206,-0.29766688,1.1490889,0.23230629,-0.55676812,-0.17315397,-0.06680844,-1.4052143,-1.5566316,0.89731634,-0.83914411,-0.36249888,-1.0392354,-0.54963404,-0.76182282,1.2763646,0.68796223,0.55919647,18743,1
